# tracer: nop
#
# entries-in-buffer/entries-written: 13608/13608   #P:16
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
 irq/95-rmi4_smb-439863  [015] ..... 25140.176986: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.176987: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.180373: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.181617: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.181619: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.181626: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.185737: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-24-01-e0-00-49-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.185739: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.185743: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.189741: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.189743: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.189745: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.192028: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.192030: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.195224: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.196446: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.196447: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.196450: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.200278: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-25-01-e0-00-49-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.200280: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.200283: smbus_read: i2c-11 a=02c f=0040 c=1 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.204183: smbus_reply: i2c-11 a=02c f=0000 c=1 BLOCK_DATA l=33 [20-04-10-00-80-00-7a-15-06-00-81-02-fe-01-00-00-01-e0-01-04-00-00-00-00-00-00-c4-54-4d-33-34-37-31]
 irq/95-rmi4_smb-439863  [015] ..... 25140.204185: smbus_result: i2c-11 a=02c f=0000 c=1 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.204188: smbus_read: i2c-11 a=02c f=0040 c=2 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.206689: smbus_reply: i2c-11 a=02c f=0000 c=2 BLOCK_DATA l=16 [0f-44-57-20-52-35-2e-30-2e-30-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.206690: smbus_result: i2c-11 a=02c f=0000 c=2 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.210051: smbus_read: i2c-11 a=02c f=0040 c=6 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.211163: smbus_reply: i2c-11 a=02c f=0000 c=6 BLOCK_DATA l=3 [02-18-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.211165: smbus_result: i2c-11 a=02c f=0000 c=6 BLOCK_DATA rd res=0
 irq/95-rmi4_smb-439863  [015] ..... 25140.211169: smbus_read: i2c-11 a=02c f=0040 c=0 BLOCK_DATA
 irq/95-rmi4_smb-439863  [015] ..... 25140.215261: smbus_reply: i2c-11 a=02c f=0000 c=0 BLOCK_DATA l=33 [20-01-25-01-e0-00-49-05-05-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00]
 irq/95-rmi4_smb-439863  [015] ..... 25140.215263: smbus_result: i2c-11 a=02c f=0000 c=0 BLOCK_DATA rd res=0
